age,study_hours,attendance,math,science,english,previous,final_marks
16,6.76,97.33,65,65,86,61,81.51
19,1.5,66.29,73,24,83,70,47.93
22,11.27,83.27,50,34,36,84,52.27
17,8.76,79.31,43,99,63,34,75.34
18,9.2,49.91,44,59,24,92,46.37
16,9.74,99.47,54,23,81,33,57.61
20,9.23,67.82,76,43,82,70,72.46
16,5.85,63.69,91,61,98,41,80.05
23,9.07,95.18,88,45,58,66,64.8
16,7.88,71.75,47,85,91,84,76.15
16,10.39,82.3,95,27,61,74,62.97
17,9.83,90.77,52,92,40,57,75.16
17,1.46,54.13,72,85,66,88,67.7
21,5.17,50.17,35,97,93,36,68.8
22,1.38,44.11,45,39,47,89,57.31
20,2.12,93.83,31,85,40,82,63.1
16,7.62,52.02,96,87,47,69,71.31
16,10.61,58.47,50,74,38,81,63.15
18,2.32,57.15,46,97,82,40,68.42
17,5.96,58.28,55,98,71,79,74.93
20,11.02,80.08,78,58,57,79,75.23
21,9.96,97.25,22,69,65,77,64.24
22,6.72,59.77,51,39,43,83,61.65
19,9.49,64.46,34,89,64,35,61.99
22,6.75,86.27,94,47,96,79,83.05
23,2.74,65.94,85,62,28,32,57.57
16,2.37,95.56,82,85,28,70,77.3
21,3.07,70.19,20,47,40,57,41.83
23,4.86,60.86,94,97,43,61,79.3
20,11.24,98.29,24,92,83,68,71.17
19,9.8,65.55,25,42,59,92,48.19
17,5.76,53.87,24,54,93,48,58.63
21,6.42,50.66,92,41,71,30,60.88
21,3.92,99.71,47,24,23,62,31.02
16,8.75,85.18,88,79,22,62,67.45
24,9.83,64.52,63,60,32,40,59.48
21,3.63,89.58,35,48,40,89,43.19
18,1.46,72.81,90,54,27,57,55.13
19,7.86,59.04,97,87,92,91,82.75
19,7.19,84.6,41,64,20,76,49.18
18,5.42,84.75,92,28,33,46,64.52
18,8.08,70.01,42,70,95,38,63.47
18,7.06,42.71,62,33,55,37,50.67
19,3.76,44.62,87,88,41,88,86.07
22,5.38,87.32,62,75,55,74,70.0
19,5.71,89.41,45,30,64,62,52.19
24,10.68,80.7,60,49,35,67,54.56
16,11.57,90.34,89,58,30,92,74.59
23,10.82,83.17,50,43,86,41,71.04
22,8.91,93.82,36,99,44,58,61.17
17,7.43,49.02,28,77,86,51,61.52
23,8.58,63.26,74,49,50,63,57.64
16,11.33,67.85,25,43,84,68,64.92
24,3.75,57.86,89,86,30,45,63.12
24,6.89,83.52,83,48,99,60,71.5
17,8.59,94.75,23,61,57,78,50.49
22,8.47,64.75,86,95,21,73,69.18
18,3.78,96.49,75,81,73,75,77.33
22,7.45,71.01,37,46,26,30,41.11
24,9.76,71.35,51,48,68,73,64.05
19,6.23,76.01,67,85,59,75,77.0
16,9.73,56.1,48,76,64,82,60.7
17,4.96,63.0,51,80,73,62,68.89
16,11.33,73.19,44,48,80,74,59.53
20,6.87,96.52,95,76,23,93,76.47
20,7.56,78.56,82,92,53,32,77.89
22,1.34,59.99,28,74,27,53,44.13
24,2.87,40.63,90,63,51,60,73.11
24,7.96,98.9,33,47,37,69,42.72
18,5.62,69.58,39,56,59,79,50.73
18,6.59,96.31,29,42,94,44,56.03
18,1.69,72.96,30,96,75,50,73.42
19,10.18,76.33,58,88,56,50,67.59
23,9.63,82.71,38,77,74,89,70.03
21,3.04,59.26,38,98,55,94,72.65
23,7.98,81.94,62,51,29,50,60.03
16,10.0,71.61,80,88,89,84,91.59
23,8.05,80.35,89,55,99,55,75.63
19,4.41,90.15,91,51,82,84,75.46
16,8.22,51.05,84,78,53,75,76.25
23,3.32,76.81,42,79,91,91,75.42
19,4.5,43.13,79,99,36,83,74.14
21,3.64,46.13,29,93,80,33,68.02
23,7.13,80.48,82,46,97,74,74.89
19,2.19,44.26,21,43,37,83,39.64
18,11.27,75.72,55,86,80,82,79.03
24,4.67,53.2,76,55,55,73,63.26
18,3.41,58.25,85,33,72,65,61.7
24,6.46,47.78,98,87,52,63,80.15
17,4.05,54.92,39,63,42,81,45.11
17,6.88,89.28,61,67,83,35,67.3
17,4.83,78.33,40,51,57,67,61.79
21,2.45,96.99,85,36,88,62,57.93
18,3.92,42.92,57,76,98,84,72.09
24,5.82,87.54,97,58,49,52,67.92
19,1.33,81.94,88,51,35,73,62.84
16,9.48,55.65,43,87,73,57,72.53
19,7.84,83.75,45,21,78,93,56.15
16,7.61,82.99,21,97,25,77,48.53
20,7.01,67.56,65,61,24,88,50.48
19,7.49,81.32,53,57,20,88,42.79
23,11.28,66.67,81,74,33,72,72.36
23,1.09,60.13,60,74,50,72,53.1
22,1.53,67.99,34,53,70,42,37.23
18,3.11,93.71,74,65,98,72,71.18
16,2.84,63.08,22,62,38,42,39.11
16,2.99,64.22,95,21,51,64,56.69
18,8.39,76.5,57,55,76,40,63.65
21,6.05,85.18,70,89,50,50,72.31
22,11.91,84.08,36,55,77,55,66.43
21,3.5,41.19,68,41,45,79,53.11
21,4.42,81.24,40,88,67,78,71.09
21,11.83,67.03,43,57,60,42,57.66
18,10.15,71.45,59,73,44,68,65.24
21,6.17,73.7,39,41,66,84,51.57
23,7.1,83.9,98,94,73,36,85.73
17,10.27,89.88,54,50,76,72,69.96
20,6.29,78.78,67,72,91,71,79.38
16,3.27,73.83,52,78,80,87,73.16
16,10.11,62.43,75,68,23,41,64.7
20,6.92,48.27,60,46,50,42,48.41
18,2.68,97.51,73,91,86,41,91.4
19,6.56,67.71,63,76,60,67,62.59
18,5.55,73.97,91,25,45,32,55.93
16,10.65,85.06,30,65,87,91,83.11
16,2.39,44.1,33,44,85,60,54.71
20,10.63,91.3,61,28,38,66,50.82
21,6.63,87.82,98,83,44,53,84.41
18,5.45,86.47,31,50,66,93,56.64
24,2.78,41.32,36,38,90,45,45.0
20,8.71,71.59,97,84,27,47,76.33
23,11.19,43.26,44,36,22,69,44.98
16,5.13,73.05,45,53,52,87,55.35
20,3.66,83.11,66,55,47,74,60.52
18,7.1,47.31,44,32,41,82,50.98
16,9.76,81.69,79,78,49,56,79.22
19,1.04,66.97,79,95,66,65,72.47
20,7.95,88.69,46,40,55,42,53.86
22,7.56,72.02,62,84,78,80,75.96
16,4.5,60.17,95,25,33,77,60.89
18,5.97,59.92,39,30,92,89,50.86
17,3.72,93.85,82,99,33,80,76.59
24,9.69,67.17,99,41,98,43,68.19
21,7.98,64.35,44,30,75,72,57.79
18,6.86,42.39,46,56,43,32,59.24
23,5.32,61.86,71,45,68,54,69.06
23,4.21,90.98,29,76,62,63,62.44
17,10.05,85.66,69,45,22,85,62.63
21,5.97,53.25,49,40,42,94,62.46
22,6.52,64.78,20,76,39,89,51.39
17,6.73,51.79,73,45,34,77,56.83
17,5.93,97.25,23,34,62,48,51.17
16,3.82,75.89,26,82,99,64,64.88
23,2.32,85.26,49,54,90,62,56.67
16,2.08,82.83,84,30,52,71,49.98
24,9.33,92.42,48,92,74,83,73.3
21,3.46,96.96,44,87,60,68,74.62
22,1.61,41.95,59,69,37,93,58.02
22,9.77,98.52,45,48,22,67,48.27
18,2.69,92.23,36,83,22,67,53.21
17,7.88,62.98,50,60,35,81,59.44
24,4.73,90.22,80,45,62,76,56.66
23,2.39,84.19,27,47,42,94,41.75
22,5.56,87.59,88,67,34,71,61.97
24,1.16,53.24,20,85,92,84,69.25
19,10.25,78.91,98,42,77,88,78.1
19,6.65,41.56,90,58,59,83,71.24
16,2.53,90.89,65,88,57,80,71.05
23,3.61,97.06,39,40,25,52,36.16
18,5.93,79.73,59,68,65,40,66.62
22,3.08,70.76,21,94,25,65,61.28
17,3.95,83.54,80,55,39,85,61.18
17,6.88,59.58,90,56,38,71,71.65
22,10.16,77.58,96,61,33,42,69.69
21,5.42,83.14,49,81,84,81,68.76
18,8.89,48.56,49,25,48,59,52.06
24,10.64,48.4,64,27,50,41,44.58
21,3.38,82.97,43,88,44,50,52.95
21,9.88,65.91,75,59,90,41,82.67
16,9.33,93.35,80,29,65,91,65.23
19,4.93,58.72,32,50,71,68,58.6
21,11.88,42.55,99,49,35,73,70.14
21,3.89,78.99,75,70,30,33,47.3
20,3.8,81.05,34,55,37,60,50.72
16,9.49,73.22,30,80,75,53,66.71
23,5.78,81.0,31,46,75,71,50.33
20,4.64,71.43,22,54,76,78,58.72
20,2.97,81.56,43,79,88,49,70.33
22,9.42,42.64,28,51,85,37,50.61
19,9.65,62.1,65,23,93,62,67.76
21,7.23,52.65,90,46,35,67,64.26
19,11.53,45.96,79,66,25,65,67.25
18,4.5,54.05,30,25,71,77,41.17
22,3.42,51.48,29,45,74,37,41.54
23,8.45,98.39,22,43,95,89,66.46
19,9.34,57.19,38,90,92,53,74.66
17,3.47,53.86,21,63,68,46,53.71
18,1.84,90.09,36,33,91,94,51.94
16,9.92,65.15,21,32,75,68,51.74
23,11.74,65.29,72,45,60,84,66.81
18,8.09,66.62,35,62,90,90,69.51
22,4.06,64.99,29,62,75,60,47.92
20,11.96,59.59,87,85,82,57,79.72
20,10.83,57.18,62,47,47,61,54.55
22,6.65,92.92,77,20,94,36,61.62
24,10.08,49.7,79,31,50,43,47.09
20,9.97,50.86,43,69,74,83,69.86
16,11.28,74.3,95,72,71,80,88.48
16,10.25,60.62,35,79,93,59,61.54
17,8.08,65.29,28,74,85,59,61.47
21,7.7,88.39,25,54,65,45,61.32
24,6.14,94.22,84,80,23,52,66.63
23,7.89,87.43,97,45,41,60,62.71
20,9.75,54.1,43,50,64,41,53.75
16,11.66,98.8,29,76,47,32,64.62
22,6.14,61.79,92,31,29,67,51.86
20,7.31,50.14,46,24,85,45,53.86
21,5.89,69.97,22,26,68,33,41.83
22,8.35,83.52,57,35,99,49,63.38
18,7.93,45.0,92,71,92,74,81.67
18,1.2,78.06,93,40,70,42,67.64
20,6.95,91.48,92,46,62,31,61.57
21,1.97,55.71,36,98,25,60,57.65
24,1.29,81.59,67,42,44,57,44.6
20,9.7,63.99,68,91,23,88,77.21
16,3.85,64.85,62,44,95,40,65.03
19,4.75,56.85,26,30,43,64,36.51
20,1.7,77.46,87,82,75,78,77.63
20,2.97,61.66,93,76,74,73,80.75
22,9.42,89.85,40,73,73,87,62.76
19,6.43,97.77,97,29,22,80,58.95
16,10.69,96.11,44,69,95,46,71.2
20,5.37,49.79,80,92,66,33,66.53
22,3.96,40.85,47,20,49,62,45.93
21,4.82,66.31,97,89,95,91,100.0
20,8.84,83.73,71,49,60,72,78.78
19,7.11,98.65,32,74,74,71,54.8
17,10.95,87.01,53,96,78,80,87.57
19,7.62,74.83,86,25,59,67,58.74
18,6.42,41.58,23,43,64,72,46.68
16,9.64,89.53,63,24,41,77,49.6
23,11.42,50.63,34,26,34,71,46.99
20,4.91,43.34,27,22,36,86,24.25
19,3.75,91.02,24,32,78,83,42.38
23,7.78,73.98,85,73,44,46,59.69
22,6.49,47.71,92,82,62,80,77.5
17,11.88,63.19,65,95,83,38,79.89
16,6.09,45.13,84,25,70,37,49.86
19,1.82,78.28,85,98,80,92,88.14
23,11.75,56.95,45,66,64,85,69.41
17,10.28,91.97,50,74,22,38,62.89
18,2.96,61.47,70,68,55,34,68.37
16,10.95,69.68,60,76,98,93,80.98
16,4.75,43.81,70,22,83,81,59.56
18,5.15,56.54,38,41,47,64,41.5
20,10.97,80.61,92,54,64,89,79.01
18,6.83,84.18,22,47,40,68,45.97
16,2.52,54.57,57,61,46,35,60.55
16,5.06,70.23,89,31,95,50,70.41
23,8.94,89.05,64,20,54,65,57.18
17,2.92,62.79,90,42,67,47,61.76
18,7.49,48.03,60,47,42,30,35.81
17,8.65,65.91,44,88,83,46,71.42
18,4.78,76.04,69,55,32,35,52.5
22,8.63,40.44,20,73,49,87,50.06
16,10.73,60.91,73,66,93,74,83.39
23,6.19,76.45,32,75,39,77,61.52
17,5.21,97.11,59,29,25,79,43.47
18,3.76,64.51,40,24,38,85,41.85
24,7.65,49.78,60,33,86,38,57.22
22,10.68,72.05,80,43,93,91,82.78
19,4.57,57.15,52,82,29,60,60.85
20,5.36,52.89,92,47,75,94,76.77
17,5.47,75.42,48,40,40,90,49.89
23,7.17,94.95,74,95,75,39,82.39
19,3.51,90.11,51,39,76,82,62.19
24,10.04,50.94,30,81,21,93,69.3
20,4.25,85.95,71,70,58,93,68.34
24,8.76,53.79,55,59,80,79,66.26
19,6.65,57.44,50,84,64,94,67.12
20,7.44,95.2,33,47,47,43,46.43
24,2.98,94.66,82,73,37,52,73.22
23,9.09,50.12,71,21,33,57,45.83
18,3.07,43.85,73,33,74,87,62.0
16,2.25,57.59,69,33,78,69,62.84
18,7.01,74.91,73,63,38,93,73.29
19,8.8,92.61,92,59,60,31,79.64
17,1.55,47.13,54,53,31,72,51.5
16,1.76,64.9,49,84,39,41,58.38
22,9.83,56.3,74,37,53,64,58.46
23,9.9,40.9,20,53,55,92,42.55
22,3.7,87.31,34,68,40,70,50.07
20,7.77,88.8,44,99,75,93,78.91
16,5.87,53.27,39,74,60,47,63.23
22,7.96,49.07,90,81,60,40,83.89
22,10.49,48.67,35,89,62,94,70.21
24,1.88,67.84,71,43,91,52,68.18
18,9.56,54.79,84,67,57,33,71.54
24,6.42,70.68,89,99,37,36,77.33
16,7.21,63.09,20,58,27,70,43.46
16,8.19,52.65,35,67,85,78,62.48
19,11.15,85.07,46,89,39,46,63.54
24,1.62,49.02,37,99,88,84,67.85
21,1.32,87.93,96,28,76,56,60.13
18,2.96,73.69,63,48,37,41,55.2
16,11.85,89.92,69,87,79,76,90.92
19,8.87,40.29,93,79,21,63,67.71
24,7.76,84.95,33,45,61,37,45.55
18,1.52,43.09,71,57,83,52,62.69
24,10.67,97.01,94,81,63,55,79.98
22,9.94,82.16,69,45,70,63,61.8
19,8.31,59.21,36,33,84,61,51.74
18,4.73,59.19,22,68,84,35,55.42
20,1.78,91.69,81,62,73,94,74.12
20,7.38,94.17,40,27,58,88,49.79
18,8.92,93.49,52,59,27,79,56.08
24,2.04,88.52,20,44,86,37,49.27
19,7.97,89.14,89,82,95,69,90.24
20,4.15,74.37,75,23,68,75,58.54
19,9.41,41.69,23,34,55,62,41.4
20,6.94,45.21,41,35,26,87,51.41
22,2.42,78.97,96,73,34,32,60.11
24,6.79,64.07,77,30,44,56,52.57
22,5.35,74.04,63,47,76,94,60.83
20,2.98,53.86,76,26,57,86,55.79
22,10.26,78.97,59,57,56,64,61.56
20,1.12,54.57,75,43,35,81,54.63
18,4.43,67.65,82,87,20,80,72.4
22,1.14,68.72,58,56,66,46,62.71
17,2.06,50.66,26,54,71,81,51.62
24,4.27,92.57,33,25,56,77,45.48
16,1.6,71.55,37,52,64,87,55.26
21,7.56,92.01,74,73,33,55,55.68
22,1.96,55.75,75,33,76,56,57.9
23,8.72,50.34,76,38,53,53,54.35
24,1.58,41.08,77,30,85,40,53.22
17,1.65,45.63,44,90,50,37,56.96
17,4.36,48.85,89,64,63,77,77.04
20,10.86,44.73,99,79,42,61,70.35
20,8.06,93.81,22,77,85,58,65.1
21,9.47,94.69,40,97,30,34,63.65
18,2.56,96.24,51,43,68,78,58.7
23,10.18,97.59,21,30,97,42,63.44
16,1.09,69.51,39,91,77,71,73.67
21,3.34,71.8,94,63,48,39,68.43
19,7.78,47.85,37,98,70,55,71.68
16,5.13,48.22,73,85,20,55,63.4
22,11.83,86.37,94,64,24,52,75.37
24,1.33,91.34,55,93,53,73,68.16
19,11.98,87.08,95,51,97,68,86.48
19,7.86,90.07,80,36,38,72,57.33
21,7.15,56.59,79,73,59,81,75.44
18,1.65,67.96,55,29,85,87,62.49
21,4.01,67.55,63,25,83,61,58.66
22,11.17,99.72,87,39,91,47,75.58
18,4.9,96.95,85,20,36,71,40.22
22,8.28,75.91,63,83,57,31,70.91
18,11.99,48.28,96,20,62,89,68.07
17,3.89,55.52,48,80,59,62,57.06
19,7.34,61.83,67,98,64,75,78.67
23,8.66,92.39,55,20,59,88,54.63
24,2.81,50.24,27,65,90,86,59.08
22,2.64,53.18,24,79,49,91,58.38
16,6.02,60.96,97,62,54,92,74.71
18,5.24,95.61,66,63,85,60,69.62
24,8.86,70.23,62,57,63,68,64.23
16,1.76,78.81,29,21,23,51,31.33
24,11.69,63.23,29,31,83,46,54.82
23,1.16,51.31,25,42,24,32,38.07
16,7.61,53.37,35,28,67,61,50.06
21,7.19,88.16,79,27,85,62,70.78
20,2.48,93.61,45,69,46,93,63.68
21,2.66,69.58,40,99,43,39,60.66
20,9.72,61.42,77,81,75,34,73.34
21,10.76,88.47,60,42,64,67,65.51
20,4.11,80.39,49,78,87,70,77.74
20,5.82,42.45,24,29,47,90,46.7
19,4.9,61.04,29,31,24,44,40.73
18,1.8,80.93,30,81,66,81,50.93
18,8.41,74.42,82,95,24,37,62.5
19,10.08,98.68,26,49,24,85,46.71
24,4.35,91.97,78,93,67,59,81.2
17,11.89,43.58,31,97,92,63,73.32
24,1.83,83.55,83,87,66,88,77.71
16,8.28,60.18,60,66,81,85,65.01
16,5.93,80.92,79,60,46,42,61.05
20,5.91,77.03,91,26,23,80,52.04
21,6.03,70.18,47,93,68,88,68.65
21,3.85,91.18,99,71,84,91,80.98
18,8.87,82.52,82,64,99,58,75.44
22,8.94,93.37,22,57,80,91,48.93
24,4.11,56.9,51,55,39,36,56.52
23,10.19,60.89,40,77,27,73,58.75
21,4.49,77.32,74,65,32,35,55.77
23,8.98,97.99,37,86,92,91,76.06
20,2.33,62.29,72,84,56,46,69.32
23,2.86,41.94,94,37,62,78,64.54
19,4.47,66.75,80,21,75,53,53.99
23,7.53,72.64,69,23,69,41,60.38
17,8.1,88.06,27,61,39,86,50.98
20,5.36,83.72,31,68,67,58,56.39
24,1.86,97.88,70,68,38,91,73.16
19,5.11,86.96,85,26,88,56,75.41
21,8.58,57.92,60,28,36,34,52.78
16,8.38,78.48,41,90,47,69,63.16
24,2.76,80.33,28,46,55,76,44.99
16,1.09,99.88,97,40,57,38,58.3
20,9.28,48.32,98,54,89,45,76.86
19,2.17,51.48,30,95,45,42,57.75
18,1.91,49.33,32,55,98,83,48.66
21,1.03,75.34,75,86,20,44,56.15
17,5.76,48.12,47,62,21,54,50.05
18,6.54,79.36,83,27,55,45,57.43
20,8.01,88.23,83,97,75,73,85.15
24,4.26,65.97,89,55,54,76,61.46
17,8.81,73.64,74,67,46,62,65.75
23,2.86,94.76,56,65,86,55,63.7
17,10.15,74.17,52,51,75,69,58.31
20,7.29,52.52,44,26,65,74,45.92
22,7.42,60.59,42,93,39,72,63.74
23,3.31,71.79,79,31,27,52,52.31
16,1.82,49.29,75,74,91,76,79.05
21,6.11,76.75,82,42,45,73,57.19
16,7.77,99.95,27,94,93,71,71.72
17,2.05,79.15,36,71,81,41,56.83
16,11.46,62.34,76,32,52,65,60.97
20,11.78,59.9,94,95,80,42,88.38
24,7.0,95.9,81,90,39,94,73.27
21,11.45,92.29,30,72,87,56,70.13
16,2.97,68.34,86,82,48,49,69.22
16,1.28,61.2,59,93,65,47,67.59
17,1.43,82.63,59,90,56,93,70.92
24,7.46,58.87,75,70,72,38,67.83
18,1.68,47.16,72,77,24,54,62.48
16,11.54,58.61,47,46,85,30,58.19
20,2.56,66.06,61,26,34,88,47.98
22,4.35,55.32,65,69,65,65,66.57
21,10.05,53.01,37,43,76,47,56.21
16,3.41,40.37,42,44,27,76,49.03
20,3.67,77.85,45,63,56,62,53.15
20,8.07,76.87,48,55,76,51,61.71
21,4.04,51.28,71,76,33,94,65.82
18,3.39,96.62,94,56,24,40,60.0
20,3.8,64.57,65,71,92,55,73.53
22,6.4,41.53,20,82,62,92,53.78
20,11.63,53.19,82,26,68,67,72.04
20,10.15,81.52,35,79,63,78,74.36
20,4.13,52.1,44,56,75,46,52.49
18,5.0,43.23,81,40,67,86,64.14
16,6.11,77.06,99,65,49,43,63.28
20,11.77,71.1,35,40,52,37,46.69
24,2.9,85.68,88,91,56,85,91.65
16,4.93,86.36,89,71,69,52,78.43
18,9.02,97.6,53,48,26,73,58.62
19,11.6,43.42,99,88,86,32,85.87
16,2.71,42.34,72,95,62,82,74.57
16,3.5,99.23,42,58,59,42,53.58
23,3.48,78.69,62,46,51,30,45.43
17,1.23,82.92,63,96,74,50,73.26
23,7.65,45.79,51,29,96,85,64.11
22,8.38,44.19,42,55,95,31,69.22
17,7.63,49.62,39,35,28,60,43.84
21,1.78,65.63,38,55,28,42,41.79
21,1.76,46.61,91,53,83,43,67.23
18,3.31,66.78,48,56,64,86,60.54
17,4.19,73.69,37,91,80,42,69.62
16,9.65,40.02,88,87,89,43,89.98
21,2.75,46.85,31,78,57,56,43.72
20,1.49,62.51,29,48,94,89,60.49
24,5.33,43.2,56,50,65,44,49.8
16,5.58,48.01,74,85,89,85,76.14
22,5.96,53.91,23,22,83,91,45.81
20,10.1,65.78,82,88,54,42,80.21
20,2.08,82.89,31,41,31,36,30.71
17,8.74,47.96,37,99,67,50,65.91
18,4.72,84.28,27,92,82,43,65.98
22,4.41,91.3,51,72,64,32,63.55
21,11.26,79.09,68,67,25,92,70.33
17,3.73,42.62,82,92,64,72,82.15
21,8.07,66.44,96,95,51,41,87.36
17,4.03,79.6,78,66,87,84,76.87
17,6.58,98.71,86,61,22,88,67.37
17,9.65,97.11,58,23,21,49,42.33
18,10.7,63.74,69,61,39,74,63.41
17,10.23,76.96,90,62,58,84,71.16
19,7.4,93.45,45,61,31,88,64.59
